id,timestamp,voteUrl,bill,billDescription,billUrl,amendment,amendmentUrl,question,vote,result
[H]-1308,2026-05-06T19:18:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27624,S.883,Sine Die 2026,https://www.scstatehouse.gov/billsearch.php?billnumbers=883&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1310,2026-05-07T10:50:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27627,H.5097,Roadside Markets,https://www.scstatehouse.gov/billsearch.php?billnumbers=5097&session=126&headerfooter=0,,,Concur in Senate Amendments,Yea,Passed
[H]-1311,2026-05-07T10:55:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27628,H.4813,Magistrate court fees and costs,https://www.scstatehouse.gov/billsearch.php?billnumbers=4813&session=126&headerfooter=0,,,Concur in Senate Amendments,Yea,Passed
[H]-1312,2026-05-07T11:51:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27632,H.5653,Lee County School District Board of Trustees,https://www.scstatehouse.gov/billsearch.php?billnumbers=5653&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1313,2026-05-07T13:04:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27641,S.508,Monument and Memorial Protection,https://www.scstatehouse.gov/billsearch.php?billnumbers=508&session=126&headerfooter=0,6,https://scstatehouse.gov/amendments.php?KEY=34685,Table Amendment 6 Amendment #6,Yea,Passed
[H]-1314,2026-05-07T13:39:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27642,S.508,Monument and Memorial Protection,https://www.scstatehouse.gov/billsearch.php?billnumbers=508&session=126&headerfooter=0,10,https://scstatehouse.gov/amendments.php?KEY=34695,Table Amendment 10 Amendment #10,Yea,Passed
[H]-1315,2026-05-07T13:43:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27643,S.508,Monument and Memorial Protection,https://www.scstatehouse.gov/billsearch.php?billnumbers=508&session=126&headerfooter=0,11,https://scstatehouse.gov/amendments.php?KEY=34698,Table Amendment 11 Amendment #11,Yea,Passed
[H]-1316,2026-05-07T13:49:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27644,S.508,Monument and Memorial Protection,https://www.scstatehouse.gov/billsearch.php?billnumbers=508&session=126&headerfooter=0,13,https://scstatehouse.gov/amendments.php?KEY=34699,Table Amendment 13 Amendment #13,Yea,Passed
[H]-1317,2026-05-07T14:02:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27645,S.508,Monument and Memorial Protection,https://www.scstatehouse.gov/billsearch.php?billnumbers=508&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1318,2026-05-07T14:15:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27648,S.857,Contingent Deferred Annuities,https://www.scstatehouse.gov/billsearch.php?billnumbers=857&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1319,2026-05-07T14:19:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27649,S.619,Insurer liquidation,https://www.scstatehouse.gov/billsearch.php?billnumbers=619&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1320,2026-05-07T14:21:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27650,S.780,Consumer Home Loans,https://www.scstatehouse.gov/billsearch.php?billnumbers=780&session=126&headerfooter=0,,,Passage of Bill,N/V,Passed
[H]-1321,2026-05-07T14:24:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27651,S.787,Bridge Loans,https://www.scstatehouse.gov/billsearch.php?billnumbers=787&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1322,2026-05-07T14:27:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27657,S.830,Automobile Insurance Issuance,https://www.scstatehouse.gov/billsearch.php?billnumbers=830&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1323,2026-05-07T14:38:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27658,S.711,School Guard Requirements,https://www.scstatehouse.gov/billsearch.php?billnumbers=711&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1324,2026-05-07T14:41:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27659,S.695,Unauthorized Fees for Claim Assistance,https://www.scstatehouse.gov/billsearch.php?billnumbers=695&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1325,2026-05-07T14:44:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27660,S.868,Gold Shield Day,https://www.scstatehouse.gov/billsearch.php?billnumbers=868&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1326,2026-05-07T14:47:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27664,S.1062,JR to Approve Reg. Doc. No. 5443,https://www.scstatehouse.gov/billsearch.php?billnumbers=1062&session=126&headerfooter=0,,,Passage of Joint Resolution,Yea,Passed
[H]-1327,2026-05-07T14:51:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27665,S.961,Red Drum,https://www.scstatehouse.gov/billsearch.php?billnumbers=961&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1329,2026-05-12T12:54:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27668,S.1162,Anderson County School District No. 2,https://www.scstatehouse.gov/billsearch.php?billnumbers=1162&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1330,2026-05-12T13:21:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27669,S.831,SCDOT Modernization,https://www.scstatehouse.gov/billsearch.php?billnumbers=831&session=126&headerfooter=0,,,Adopt Conference Report,Yea,Passed
[H]-1331,2026-05-12T13:24:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27671,S.819,Nursing Homes TB Tests,https://www.scstatehouse.gov/billsearch.php?billnumbers=819&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1332,2026-05-12T13:26:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27672,S.894,Death Certificate Filing Deadline Exception,https://www.scstatehouse.gov/billsearch.php?billnumbers=894&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1333,2026-05-12T13:28:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27673,S.453,Teledentistry,https://www.scstatehouse.gov/billsearch.php?billnumbers=453&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1334,2026-05-12T13:37:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27674,S.436,Aircraft,https://www.scstatehouse.gov/billsearch.php?billnumbers=436&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1335,2026-05-12T13:40:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27675,S.1005,Judicial Salaries,https://www.scstatehouse.gov/billsearch.php?billnumbers=1005&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1336,2026-05-12T13:43:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27676,S.829,Joint System Governance,https://www.scstatehouse.gov/billsearch.php?billnumbers=829&session=126&headerfooter=0,,,Passage of Bill,Nay,Passed
[H]-1337,2026-05-12T13:47:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27679,S.222,Utility terrain vehicle,https://www.scstatehouse.gov/billsearch.php?billnumbers=222&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1338,2026-05-12T13:50:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27680,S.688,DEW UI Tax Code,https://www.scstatehouse.gov/billsearch.php?billnumbers=688&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1339,2026-05-12T13:52:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27681,S.1011,Barnwell National Guard Armory,https://www.scstatehouse.gov/billsearch.php?billnumbers=1011&session=126&headerfooter=0,,,Passage of Joint Resolution,Yea,Passed
[H]-1341,2026-05-13T10:23:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27703,H.4679,South Carolina Drone Regulation and Public Safety Act,https://www.scstatehouse.gov/billsearch.php?billnumbers=4679&session=126&headerfooter=0,,,Concur in Senate Amendments,Yea,Passed
[H]-1342,2026-05-13T10:31:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27704,H.3569,Domestic violence in rental properties,https://www.scstatehouse.gov/billsearch.php?billnumbers=3569&session=126&headerfooter=0,Amendment number 1a,https://scstatehouse.gov/amendments.php?KEY=34743,Adopt Amendment 1A Amendment #1a,Yea,Passed
[H]-1343,2026-05-13T10:35:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27705,S.454,Charter School Accountability,https://www.scstatehouse.gov/billsearch.php?billnumbers=454&session=126&headerfooter=0,,,Concur in Senate Amendments,Yea,Passed
[H]-1344,2026-05-13T11:14:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27707,S.958,Hallway Beds,https://www.scstatehouse.gov/billsearch.php?billnumbers=958&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1345,2026-05-13T11:18:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27709,S.1038,Religious Liberty Day,https://www.scstatehouse.gov/billsearch.php?billnumbers=1038&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1346,2026-05-13T11:21:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27711,S.765,Dues for SC Wildlife Law Enforcement Officers Association,https://www.scstatehouse.gov/billsearch.php?billnumbers=765&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1347,2026-05-13T11:27:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27713,S.420,Investment of Funds by Political Subdivisions,https://www.scstatehouse.gov/billsearch.php?billnumbers=420&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1348,2026-05-13T11:31:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27716,S.399,Public Transit Trespass,https://www.scstatehouse.gov/billsearch.php?billnumbers=399&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1349,2026-05-13T11:33:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27717,S.428,Fraudulent Check Expungement,https://www.scstatehouse.gov/billsearch.php?billnumbers=428&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1350,2026-05-13T11:37:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27718,S.845,Child Fatality Advisory Committee,https://www.scstatehouse.gov/billsearch.php?billnumbers=845&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1351,2026-05-13T11:43:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27721,S.996,Fingerprint Background Checks Update,https://www.scstatehouse.gov/billsearch.php?billnumbers=996&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-1352,2026-05-13T11:55:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27723,H.5506,Pee Dee Regional Airport Authority,https://www.scstatehouse.gov/billsearch.php?billnumbers=5506&session=126&headerfooter=0,,,Concur in Senate Amendments,Yea,Passed
[H]-1353,2026-05-13T11:59:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27724,H.4188,"Coroners, disposition of unidentified or unclaimed remains",https://www.scstatehouse.gov/billsearch.php?billnumbers=4188&session=126&headerfooter=0,,,Concur in Senate Amendments,Yea,Passed
[H]-1354,2026-05-13T12:03:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27725,H.3874,Workers' compensation,https://www.scstatehouse.gov/billsearch.php?billnumbers=3874&session=126&headerfooter=0,,,Concur in Senate Amendments,Yea,Passed
[H]-1355,2026-05-13T12:15:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27727,S.52,Driving under the influence,https://www.scstatehouse.gov/billsearch.php?billnumbers=52&session=126&headerfooter=0,,,Concur in Senate Amendments,Nay,Failed
[H]-1356,2026-05-13T12:18:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27730,H.4477,Heirs' property,https://www.scstatehouse.gov/billsearch.php?billnumbers=4477&session=126&headerfooter=0,,,Concur in Senate Amendments,Yea,Passed
