code,district,name,party,bioUrl,photoUrl
0802272631,55,"Representative Jackie E. ""Coach"" Hayes",D,https://www.scstatehouse.gov/member.php?code=0802272631,https://www.scstatehouse.gov/images/members/0802272631.jpg
1256818031,56,"Representative Timothy A. ""Tim"" McGinnis",R,https://www.scstatehouse.gov/member.php?code=1256818031,https://www.scstatehouse.gov/images/members/1256818031.jpg
0066477265,57,Representative Lucas Atkinson,R,https://www.scstatehouse.gov/member.php?code=0066477265,https://www.scstatehouse.gov/images/members/0066477265.jpg
0938636251,58,"Representative Jeffrey E. ""Jeff"" Johnson",R,https://www.scstatehouse.gov/member.php?code=0938636251,https://www.scstatehouse.gov/images/members/0938636251.jpg
0011363635,59,Representative Terry Alexander,D,https://www.scstatehouse.gov/member.php?code=0011363635,https://www.scstatehouse.gov/images/members/0011363635.jpg
1125568047,60,Representative Phillip D. Lowe,R,https://www.scstatehouse.gov/member.php?code=1125568047,https://www.scstatehouse.gov/images/members/1125568047.jpg
1635227077,61,Representative Carla Schuessler,R,https://www.scstatehouse.gov/member.php?code=1635227077,https://www.scstatehouse.gov/images/members/1635227077.jpg
1942045222,62,Representative Robert Q. Williams,D,https://www.scstatehouse.gov/member.php?code=1942045222,https://www.scstatehouse.gov/images/members/1942045222.jpg
0957954431,63,"Representative Wallace H. ""Jay"" Jordan, Jr.",R,https://www.scstatehouse.gov/member.php?code=0957954431,https://www.scstatehouse.gov/images/members/0957954431.jpg
1453408917,64,Representative Fawn M. Pedalino,R,https://www.scstatehouse.gov/member.php?code=1453408917,https://www.scstatehouse.gov/images/members/1453408917.jpg
1344033930,65,Representative Cody T. Mitchell,R,https://www.scstatehouse.gov/member.php?code=1344033930,https://www.scstatehouse.gov/images/members/1344033930.jpg
1812357738,66,Representative Jackie R. Terribile,R,https://www.scstatehouse.gov/member.php?code=1812357738,https://www.scstatehouse.gov/images/members/1812357738.jpg
1703408887,67,"Representative G. Murrell Smith, Jr.",R,https://www.scstatehouse.gov/member.php?code=1703408887,https://www.scstatehouse.gov/images/members/1703408887.jpg
0428977222,68,Representative Heather Ammons Crawford,R,https://www.scstatehouse.gov/member.php?code=0428977222,https://www.scstatehouse.gov/images/members/0428977222.jpg
1978408854,69,Representative Chris Wooten,R,https://www.scstatehouse.gov/member.php?code=1978408854,https://www.scstatehouse.gov/images/members/1978408854.jpg
1527840726,70,Representative Robert T. Reese,D,https://www.scstatehouse.gov/member.php?code=1527840726,https://www.scstatehouse.gov/images/members/1527840726.jpg
0102272715,71,Representative Nathan Ballentine,R,https://www.scstatehouse.gov/member.php?code=0102272715,https://www.scstatehouse.gov/images/members/0102272715.jpg
1584090719,72,Representative Seth Rose,D,https://www.scstatehouse.gov/member.php?code=1584090719,https://www.scstatehouse.gov/images/members/1584090719.jpg
0770454453,73,"Representative Christopher R. ""Chris"" Hart",D,https://www.scstatehouse.gov/member.php?code=0770454453,https://www.scstatehouse.gov/images/members/0770454453.jpg
1614772534,74,Representative J. Todd Rutherford,D,https://www.scstatehouse.gov/member.php?code=1614772534,https://www.scstatehouse.gov/images/members/1614772534.jpg
0125568167,75,Representative Heather Bauer,D,https://www.scstatehouse.gov/member.php?code=0125568167,https://www.scstatehouse.gov/images/members/0125568167.jpg
0879545349,76,Representative Leon Howard,D,https://www.scstatehouse.gov/member.php?code=0879545349,https://www.scstatehouse.gov/images/members/0879545349.jpg
0657954467,77,Representative Kambrell H. Garvin,D,https://www.scstatehouse.gov/member.php?code=0657954467,https://www.scstatehouse.gov/images/members/0657954467.jpg
0141477256,78,Representative Beth E. Bernstein,D,https://www.scstatehouse.gov/member.php?code=0141477256,https://www.scstatehouse.gov/images/members/0141477256.jpg
0705681734,79,Representative Hamilton R. Grant,D,https://www.scstatehouse.gov/member.php?code=0705681734,https://www.scstatehouse.gov/images/members/0705681734.jpg
1066477145,80,Representative Kathy Landing,R,https://www.scstatehouse.gov/member.php?code=1066477145,https://www.scstatehouse.gov/images/members/1066477145.jpg
0776136271,81,Representative Charles V. Hartz,R,https://www.scstatehouse.gov/member.php?code=0776136271,https://www.scstatehouse.gov/images/members/0776136271.jpg
0363636320,82,"Representative William ""Bill"" Clyburn",D,https://www.scstatehouse.gov/member.php?code=0363636320,https://www.scstatehouse.gov/images/members/0363636320.jpg
0849715808,83,"Representative William M. ""Bill"" Hixon",R,https://www.scstatehouse.gov/member.php?code=0849715808,https://www.scstatehouse.gov/images/members/0849715808.jpg
